content,link,tag,time,title
,https://regional.kompas.com/read/2020/12/10/17084051/update-covid-19-di-kalteng-kaltim-kaltara-gorontalo-sulbar-sulsel-dan-sultra,virus corona,"Kompas.com - 10/12/2020, 17:08 WIB","UPDATE Covid-19 di Kalteng, Kaltim, Kaltara, Gorontalo, Sulbar, Sulsel, dan Sultra 10 Desember 2020"
,https://regional.kompas.com/read/2020/12/10/17063591/update-covid-19-di-jatim-diy-bali-ntt-ntb-kalbar-dan-kalsel-10-desember-2020,Bali,"Kompas.com - 10/12/2020, 17:06 WIB","UPDATE Covid-19 di Jatim, DIY, Bali, NTT, NTB, Kalbar dan Kalsel 10 Desember 2020 "
,https://regional.kompas.com/read/2020/12/10/18120081/update-covid-19-di-sulteng-sultra-maluku-malut-papua-dan-papua-barat-10,papua,"Kompas.com - 10/12/2020, 18:12 WIB","UPDATE Covid-19 di Sulteng, Sultra, Maluku, Malut, Papua, dan Papua Barat 10 Desember 2020"
,https://nasional.kompas.com/read/2020/12/10/17464471/update-sebaran-6033-kasus-baru-covid-19-tertinggi-di-jakarta-dengan-1180,Covid-19,"Kompas.com - 10/12/2020, 17:46 WIB","UPDATE: Sebaran 6.033 Kasus Baru Covid-19, Tertinggi di Jakarta dengan 1.180"
,https://www.kompas.com/hype/read/2020/12/10/170309066/di-masa-pandemi-corona-ivan-gunawan-bersyukur-lebih-awal-masuk-ke-bisnis,Ivan Gunawan,"Kompas.com - 10/12/2020, 17:03 WIB","Di Masa Pandemi Corona, Ivan Gunawan Bersyukur Lebih Awal Masuk ke Bisnis Online"
,https://nasional.kompas.com/read/2020/12/10/16394301/mendagri-klaim-tingkat-kepatuhan-publik-terhadap-protokol-kesehatan-saat,Kemendagri,"Kompas.com - 10/12/2020, 16:39 WIB",Mendagri Klaim Tingkat Kepatuhan Publik terhadap Protokol Kesehatan Saat Pilkada 2020 Sekitar 89-96 Persen
,https://nasional.kompas.com/read/2020/12/10/17180341/update-10-desember-ada-66463-suspek-terkait-covid-19,Covid-19,"Kompas.com - 10/12/2020, 17:18 WIB",UPDATE 10 Desember: Ada 66.463 Suspek Terkait Covid-19
,https://www.kompas.com/global/read/2020/12/10/171011470/karena-virus-corona-filipina-dilanda-kelaparan,virus corona,"Kompas.com - 10/12/2020, 17:10 WIB","Karena Virus Corona, Filipina Dilanda Kelaparan"
,https://www.kompas.com/tren/read/2020/12/11/075300565/dewan-penasihat-rekomendasikan-bpom-as-beri-izin-darurat-vaksin-pfizer,virus corona,"Kompas.com - 11/12/2020, 07:53 WIB",Dewan Penasihat Rekomendasikan BPOM AS Beri Izin Darurat Vaksin Pfizer
,https://nasional.kompas.com/read/2020/12/11/06470311/10-provinsi-catat-kenaikan-kasus-covid-19-satgas-minta-pemda-evaluasi,Covid-19,"Kompas.com - 11/12/2020, 06:47 WIB","10 Provinsi Catat Kenaikan Kasus Covid-19, Satgas Minta Pemda Evaluasi"
